Gen,Fit,Cat,Div,Loc,Comp,Unq,Tot,Hits
210,359771,0,0.46072,0.05,1,0.1,25,0,1324
270,359771,0,0.477014,0.05,1,0.1,25,0,1657
630,356328,0,0.483867,0.05,1,0.1,25,0,3926
660,351398,0,0.484116,0.05,1,0.1,25,0,4120
810,348605,0,0.38477,0.05,1,0.1,25,0,5037
1230,345273,0,0.115797,0.224157,0.791012,0.285768,25,0,7212
1320,344878,0,0.075619,0.447294,0.523248,0.52378,25,0,7677
1410,343889,0,0.0758634,0.446495,0.524206,0.522928,25,0,8149
2280,335126,0,0.109255,0.268279,0.738066,0.332831,25,0,12058
2400,333959,0,0.123072,0.0943212,0.946815,0.147276,25,0,12624
2430,333959,0,0.123337,0.192835,0.828598,0.252357,25,0,12786
2520,333762,0,0.080646,0.40752,0.570976,0.481355,26,1,13275
2670,333036,0,0.0494865,0.588465,0.353842,0.674363,26,1,14278
3120,331190,0,0.0914948,0.363421,0.623895,0.434315,26,1,16504
3870,329209,0,0.0589027,0.532254,0.421295,0.614404,26,1,19133
3900,329209,0,0.0593582,0.546562,0.404126,0.629666,26,1,19236
4050,329209,0,0.0648282,0.506278,0.452467,0.586696,26,1,19769
4650,328242,0,0.0594865,0.534894,0.418128,0.61722,26,1,21572
5190,328242,0,0.0518178,0.575976,0.368829,0.661041,27,2,23477
5220,328242,0,0.0445549,0.620985,0.314818,0.709051,27,2,23609
5400,327974,0,0.0753499,0.463842,0.50339,0.541432,27,2,24479
6120,327783,0,0.106054,0.285426,0.717489,0.351121,27,2,28061
6390,327783,0,0.100219,0.316681,0.679982,0.38446,27,2,28855
6780,327727,0,0.102845,0.302618,0.696859,0.369459,27,2,29954
6930,327727,0,0.102845,0.302618,0.696859,0.369459,27,2,30362
7200,326832,0,0.0958509,0.340084,0.651899,0.409423,27,2,31115
7320,326832,0,0.0958509,0.340084,0.651899,0.409423,27,2,31454
7590,325888,0,0.138219,0.11311,0.924268,0.167317,28,2,32429
8520,325727,0,0.0548696,0.559516,0.38858,0.643484,28,2,36339
8580,325583,0,0.0457308,0.608585,0.329698,0.695824,28,2,36549
8610,325583,0,0.0457308,0.608585,0.329698,0.695824,28,2,36638
9000,324896,0,0.0432257,0.622005,0.313594,0.710139,28,2,37957
9360,324896,0,0.0426253,0.625222,0.309734,0.71357,28,2,38984
9390,324896,0,0.0426253,0.625222,0.309734,0.71357,28,2,39045
10140,324305,0,0.0682567,0.48791,0.474508,0.567104,29,2,41412
10620,323885,0,0.0655983,0.494743,0.466309,0.574392,29,2,43082
11010,323698,0,0.0633251,0.51433,0.442804,0.595285,29,2,44563
11190,323698,0,0.0631429,0.515306,0.441633,0.596327,29,2,45215
11310,323698,0,0.0629151,0.516526,0.440169,0.597628,29,2,45624
11340,323698,0,0.0629151,0.516526,0.440169,0.597628,29,2,45719
11490,323698,0,0.0601284,0.563576,0.383709,0.647814,29,2,46314
11640,323698,0,0.0570518,0.547937,0.402476,0.631133,29,2,46827
12180,323311,0,0.0552422,0.557631,0.390843,0.641473,29,2,48486
12360,322663,0,0.0558261,0.54827,0.402076,0.631488,29,2,48944
12390,322663,0,0.0543768,0.554503,0.394596,0.638137,29,2,49009
12630,322663,0,0.0537143,0.569255,0.376894,0.653872,30,3,49860
12930,322663,0,0.0546708,0.560692,0.387169,0.644738,30,3,50882
13200,322663,0,0.0567867,0.549357,0.400772,0.632647,30,3,51904
13230,322663,0,0.0567867,0.549357,0.400772,0.632647,30,3,52005
13320,322663,0,0.0511056,0.579791,0.36425,0.665111,30,3,52390
13410,322552,0,0.053118,0.583807,0.359432,0.669394,30,3,52691
13740,322538,0,0.0512629,0.578949,0.365262,0.664212,30,3,53785
14100,322430,0,0.0535362,0.56677,0.379876,0.651222,30,3,54929
14700,321181,0,0.0619255,0.553771,0.395475,0.637356,30,3,56541
14820,321181,0,0.0620911,0.525488,0.429414,0.607187,30,3,56837
15090,321181,0,0.0634576,0.51362,0.443656,0.594528,31,4,57500
15570,321181,0,0.0621532,0.520608,0.435271,0.601982,31,4,59041
15660,321181,0,0.0609855,0.526863,0.427764,0.608654,31,4,59365
16140,321181,0,0.061089,0.526309,0.428429,0.608063,31,4,61025
16470,321181,0,0.0616149,0.523492,0.43181,0.605058,31,4,62272
16530,321181,0,0.0616149,0.523492,0.43181,0.605058,31,4,62505
16680,321181,0,0.0616149,0.523492,0.43181,0.605058,31,4,63002
16830,321181,0,0.0616149,0.523492,0.43181,0.605058,31,4,63495
17430,321181,0,0.0671967,0.493589,0.467693,0.573162,31,4,65399
17460,321181,0,0.0671967,0.493589,0.467693,0.573162,31,4,65501
18150,321071,0,0.0423106,0.626908,0.307711,0.715368,32,4,67502
18240,321071,0,0.0365549,0.657742,0.27071,0.748258,32,4,67797
18330,321071,0,0.0352298,0.657742,0.27071,0.748258,32,4,68076
18540,321071,0,0.0299917,0.692902,0.228518,0.785762,32,4,68719
18720,321071,0,0.0299917,0.692902,0.228518,0.785762,32,4,69212
18840,321071,0,0.0280248,0.703438,0.215874,0.797001,32,4,69588
19110,321071,0,0.0276729,0.70488,0.214144,0.798539,32,4,70404
19920,320940,0,0.0427826,0.626819,0.307817,0.715274,32,4,72742
20130,320844,0,0.04547,0.609982,0.328021,0.697314,33,4,73347
20580,320780,0,0.0469896,0.601841,0.337791,0.688631,33,4,74900
20880,320525,0,0.0487578,0.592369,0.349157,0.678527,33,4,75946
21390,319875,0,0.045499,0.609827,0.328208,0.697149,33,4,77625
21480,319875,0,0.045499,0.609827,0.328208,0.697149,33,4,77922
